Stop ID,Link ID,X,Y
cluster_2186966398_242609604,208402190#1,739419.17,5687601.89
196141499,-18950703#0,738720.0700000001,5687752.87
5208065389,-850593426,738826.96,5689358.279999999
2582530850,18950041,738483.04,5687957.5
196141498,18950703#0,738724.13,5687798.42
3660582410,251388156#2,739921.87,5689106.4799999995
cluster_1834068483_286747828,-259718592#1,740656.3300000001,5689419.67
291583661,-26588315#0,741281.8500000001,5688371.449999999
291583782,26588317#1,740947.74,5688280.819999999
287606252,-155770508#0,740882.98,5689783.13
735275290,-59295416#0,739086.88,5687928.22
1347761734,120139497,739799.21,5687769.199999999
4539796501,251388157#0,740078.26,5688474.55
80095139,-252905710,739830.88,5689287.91
256862830,1033126485#1,741482.99,5689162.42
1567161295,-143219782,739457.5,5688700.27
291583698,26588315#0,741298.95,5688284.4399999995
304073737,27688005#0,741418.65,5690494.569999999
cluster_291584686_291585170,251388157#1,740031.66,5688439.6899999995
304073738,27688005#1,741407.63,5690600.359999999
304073732,269863310#0,741442.04,5690306.9399999995
256862829,1033126485#0,741475.38,5689338.42
443562112,26773962#1,741472.56,5689943.649999999
4134209383,28304235,739085.91,5689210.77
365116796,-32474244#0,739778.21,5688979.55
4207842262,192697438,739570.3600000001,5689386.42
5163059317,22617175,739228.51,5688750.41
1854419592,-174780706#0,740560.15,5689221.609999999
1567161277,143219786#0,739495.13,5688633.449999999
365116790,32474114,739839.5800000001,5689049.96
196142824,18950768#2,738822.63,5687978.56
196142822,18950768#0,738805.56,5687790.51
196142820,-18950768#0,738801.8300000001,5687745.649999999
1567161289,143219782,739557.64,5688701.39
1567161281,143219786#1,739447.79,5688651.77
287620343,26261634#1,741608.47,5689692.87
242623722,531959260,739035.37,5688721.359999999
289404838,-173219888#0,739820.73,5690733.58
cluster_367991765_367992461,172507387#2,739318.44,5689294.21
1836212664,958263705#1,738897.48,5689488.779999999
310818300,-173384708,739071.68,5689366.899999999
2656591000,31026090#5,739311.5800000001,5688684.84
2656591002,-221249244#0,739163.5700000001,5688834.97
3673010901,-363097549#0,741501.64,5689479.87
370684443,-32915589#0,741788.76,5689432.1
2656591004,-22617175,739235.27,5688757.62
2656591006,672158127,739190.19,5688805.26
80100340,-31026088,739758.04,5688232.2299999995
1567161254,143219790,739461.48,5688578.6899999995
286752943,26187074#0,740395.3400000001,5690654.26
cluster_1181186641_5738611829,-102323023#0,739160.16,5689505.56
365120725,32474365#1,739878.13,5688994.34
196144945,265595288#2,738945.3200000001,5687777.399999999
370684450,32915589#0,741780.74,5689334.779999999
196144944,-18950813#0,738646.18,5687805.99
80110034,259718596#1,740969.47,5689723.74
287617198,26261267#1,740973.3200000001,5689926.4799999995
1567161263,-143219786#0,739542.62,5688615.72
2423876365,-376817789,738852.05,5689072.21
291584695,26588307#2,740355.6000000001,5688567.77
242621561,1013399809,740108.71,5687875.09
242621560,-28898202,740022.9,5687819.16
309210102,28152337,740058.71,5688209.2299999995
242610672,-22617126#0,739467.44,5687065.26
1842097910,411818336#1,738955.6000000001,5689058.71
242610675,22617126#0,739501.91,5687250.96
242610677,22617126#1,739537.49,5687363.18
242610679,22617126#3,739579.3400000001,5687533.199999999
242610678,22617126#2,739556.06,5687439.62
291585332,26588451#0,740083.6000000001,5688359.92
cluster_1496875422_2656422524,-136470291,741819.55,5690638.069999999
291585335,26588451#1,740133.74,5688398.09
cluster_1370849946_2066557322_21715375_276050507_#4more,-28304386,738845.2,5689179.76
287607193,25903090#2,740893.01,5690366.859999999
cluster_5211018053_80074511,-28304189#1,739050.56,5689531.319999999
242610681,22617126#4,739604.48,5687631.2299999995
286748117,-456285015#0,740520.55,5689524.4799999995
2036729856,-460631238,739363.8200000001,5689387.25
2036729854,173384708,739131.62,5689370.99
1842097906,-173383320#0,739060.03,5688952.609999999
1842097909,672353086,739085.21,5688927.17
196139213,294623783#1,739004.47,5687880.97
2656410311,-24675252#2,741478.04,5689566.04
69426256,177914610,741383.67,5689592.42
242613047,-22617139,740081.0700000001,5687298.149999999
80094453,251388156#3,739888.22,5689172.6
242615347,22617152,739583.26,5687033.96
1567161334,143219780,739502.5,5688848.24
242605650,22617069,739468.6100000001,5687699.529999999
cluster_1692376836_1847625817,672420266,739495.76,5689419.1
278960722,-25591099#0,741828.75,5690764.08
242605656,22617112,739578.46,5688138.79
1847625772,532494273,739532.7,5689433.47
4537606284,22617185,739627.26,5688364.8
242605653,259648295,739523.3500000001,5687918.63
242605652,22617114,739494.81,5687810.029999999
242605655,22617111,739551.25,5688028.649999999
291585228,26588445#0,740335.6100000001,5687772.399999999
365116801,-32474300,739685.19,5688972.99
242613050,22617139,739984.72,5687811.819999999
2570193896,456285015#0,740479.17,5689553.91
69426265,-174133369,740152.5900000001,5690191.279999999
367990194,221248644,738940.71,5689356.699999999
242618747,31026090#4,739361.3600000001,5688634.46
69430502,-30427637#0,741479.74,5689840.84
370684412,30427637#0,741488.47,5689758.27
242618745,22617176#2,739219.93,5688535.14
cluster_2423876376_2423876385,376817790,738862.43,5689117.04
370684415,32915583#0,741454.5800000001,5689777.08
291585220,-26588451#0,739883.49,5688208.649999999
cluster_2590098554_2590098560,172507385#1,739967.45,5689288.2299999995
291585221,28148353,740051.68,5688035.09
9403214490,-1019525517,739142.78,5689592.3
9403214492,-1019525518,739137.41,5689645.72
1692376832,-253018202#1,739482.68,5689437.33
287617328,-26261267#0,740779.23,5689960.399999999
242616336,22617165,740186.98,5686976.88
242616335,22617164,740087.79,5686956.66
370684422,-32915583#2,741378.94,5689814.76
370684425,24675253,741762.27,5689437.29
1567161314,-143219779,739538.71,5688786.17
291585014,-26588430,740689.78,5688722.06
1855973908,-59295403,738621.05,5687715.0
242614045,22617143,739838.81,5687448.05
2423994290,-234096878,739042.3300000001,5688195.3
1567161322,-143219780,739417.94,5688806.08
366040401,32548075#0,739386.65,5688868.72
2656422579,26262373#0,741723.06,5690443.87
2570193860,219386233#0,739309.76,5690708.56
367991198,172507387#1,739188.1100000001,5689245.6
242614294,22617145,739851.97,5687343.569999999
cluster_365119287_365120100,32474244#0,739795.6000000001,5688942.64
242619748,22617183,739434.88,5688560.609999999
80073792,26429004#0,739220.3500000001,5689689.05
2576129848,-251388155,739950.01,5689051.24
287616256,26261297#1,740794.78,5690114.39
242619987,22617184,739512.8400000001,5688482.2299999995
287616255,26261142#0,740971.54,5690087.14
289405088,26414651#0,739960.27,5690382.59
320935441,-29183702,740583.52,5687841.58
320935442,26588445#3,740598.55,5687806.819999999
196139624,294623783#0,739021.8,5687802.779999999
cluster_276050765_366044588,173383995,739013.25,5689114.62
317297659,59295381,740213.91,5687777.85
320935439,27957239#1,740531.43,5687908.56
2561670362,143219791#0,739496.47,5688543.4399999995
386045437,-33747492,742035.96,5688853.0
2656422583,-26261520#0,741723.56,5690315.42
1567161302,143219779,739445.9,5688749.93
510215847,-253018203#0,739585.92,5689380.899999999
3975864089,356024312#1,738686.48,5689418.93
2656422590,26261520#0,741720.74,5690254.4799999995
320935434,29183701#2,740392.12,5688134.13
320935433,26588445#2,740499.27,5687781.99
4535533813,-252905717,741429.8500000001,5689518.74
80074509,253018202#2,739200.53,5689508.4799999995
287620881,-26261568,741586.31,5689582.89
4535533819,-1033126485#0,741472.38,5689413.92
80074508,253018202#0,739269.39,5689510.9799999995
277181259,-25435358,740643.97,5690383.8
320935428,-29183700,740324.73,5688085.9399999995
1847656185,-26429011#0,739236.98,5688850.1
1847656187,361600889#1,739613.15,5689038.02
80084624,172507385#0,740278.3400000001,5689254.649999999
2656422593,26773965#1,741642.73,5690273.949999999
cluster_2423943252_242605232,59295399#1,739088.45,5687920.3
242617587,221249244#2,738943.71,5688714.01
242617588,221249244#1,738994.88,5688718.109999999
2576129820,251388152#0,739399.38,5688977.399999999
291585171,251388157#3,739817.15,5688276.43
3858989491,-4086300#1,739142.72,5687232.63
332740514,-33747489#0,741495.27,5688880.1
2666104984,253018203#1,739815.5,5689320.819999999
cluster_3673957227_69426258,-259718596#1,741071.0800000001,5689646.29
320935423,26588445#1,740396.66,5687787.899999999
286737767,-26185390#0,740703.52,5689423.17
320935425,-29183699,740242.26,5688019.3
286752447,26187074#2,740531.3,5690493.81
28800200,537994673#1,738834.0,5689482.08
3858989497,-22617130#1,739154.97,5687223.49
367994499,32703574#3,739548.53,5689243.449999999
1847656180,9886643#0,739773.05,5689070.97
5208531511,460583731#0,738946.23,5689357.1899999995
291585288,26588445#4,740695.15,5687863.6899999995
4537606196,-28148353,739994.8500000001,5687991.949999999
367993732,32703574#1,739639.6000000001,5689285.819999999
367993731,32703574#0,739661.2,5689285.05
367993971,32703574#2,739596.99,5689268.12
5163064687,26429741,739353.77,5688626.92
2009108993,189332412#0,741394.1100000001,5689460.0
289404238,138203253#0,740534.3600000001,5690207.81
2105519012,761248440#1,741946.6100000001,5688857.359999999
2105519018,200583545,741723.03,5688868.58
2105519016,200583542,741827.68,5688863.22
367993733,32703574#4,739500.22,5689219.859999999
